coder_id,event_id,application_id,event_date,event_date_precision,event_type,round_number,counterparty_name,counterparty_role,medium,evidence_system,evidence_id,notes
bravo,drata|sdr-remote|c1|e1,drata|sdr-remote|c1,2025-06-16,exact,submission_receipt,,unknown,,email,gmail,197794fc216fb2ec,Primary artifact for this row.
bravo,circle|gtm-engineer-outbound|c1|e1,circle|gtm-engineer-outbound|c1,2025-06-20,exact,submission_receipt,,unknown,,email,gmail,1978fae6c43de77c,Primary artifact for this row.
bravo,trace3|sdr|c1|e1,trace3|sdr|c1,2025-06-25,exact,submission_receipt,,unknown,,email,gmail,197a864d4c88286e,Primary artifact for this row.
bravo,runway|go-to-market-ai-engineer|c1|e1,runway|go-to-market-ai-engineer|c1,2025-06-26,exact,submission_receipt,,unknown,,email,gmail,197a9b7e36f15a96,Primary artifact for this row.
bravo,gigs|unspecified|c1|e1,gigs|unspecified|c1,2025-06-30,exact,submission_receipt,,unknown,,email,gmail,197c324e2c6972a8,Primary artifact for this row.
bravo,pinterest|apprentice-product-researcher|c1|e1,pinterest|apprentice-product-researcher|c1,2025-06-26,exact,employer_ack,,unknown,,email,gmail,197ad3ae5480d64b,Primary artifact for this row.
bravo,pinterest|product-manager-ii-search|c1|e1,pinterest|product-manager-ii-search|c1,2025-06-30,exact,employer_ack,,unknown,,email,gmail,197c1531c3b0cd45,Primary artifact for this row.
bravo,galileo|growth-engineer|c1|e1,galileo|growth-engineer|c1,2025-07-02,exact,submission_receipt,,unknown,,email,gmail,197cbf50d42e42d4,Primary artifact for this row.
bravo,headway|growth-marketing-specialist|c1|e1,headway|growth-marketing-specialist|c1,2025-07-03,exact,submission_receipt,,unknown,,email,gmail,197d047a6d227e74,Primary artifact for this row.
bravo,designit|unspecified|c1|e1,designit|unspecified|c1,2025-07-08,exact,submission_receipt,,unknown,,email,gmail,197ea85c50a5e246,Primary artifact for this row.
bravo,applause|enterprise-sdr|c1|e1,applause|enterprise-sdr|c1,2025-07-08,exact,submission_receipt,,unknown,,email,gmail,197e8533c3fb823c,Primary artifact for this row.
bravo,scaleops|sales-engineer-usa|c1|e1,scaleops|sales-engineer-usa|c1,2025-07-17,exact,submission_receipt,,unknown,,email,gmail,19816fa4ed2957bf,Primary artifact for this row.
bravo,exa-labs|growth-lead|c1|e1,exa-labs|growth-lead|c1,2025-07-25,exact,submission_receipt,,unknown,,email,gmail,19843b40babe3689,Primary artifact for this row.
bravo,slingshot-ai|conversation-designer|c1|e1,slingshot-ai|conversation-designer|c1,2025-07-25,exact,submission_receipt,,unknown,,email,gmail,198417c793254f3f,Primary artifact for this row.
